f,scl1
0.0,-7.9786834e-05
0.0,-0.0001372664
0.0,0.002912423
0.0,-0.0048100906
0.0,-0.000929318
0.0,0.0041511566
0.0,-0.005572653
0.0,-0.005736148
0.0,-0.0009476538
0.0,-0.007172857
0.0,0.011586105
0.0,-0.0031245244
0.0,-0.0035806855
0.0,-0.0047120047
0.0,-0.0019481378
0.0,-0.006435415
0.0,0.00053606136
0.0,0.0026229846
0.0,-0.0033831839
0.0,-0.0006840109
0.0,-0.0017437934
0.0,-0.0014578718
0.0,0.004550347
0.0,0.0059260665
0.0,0.009344163
0.0,-0.00025525477
0.0,-0.009581923
0.0,-0.0017332444
0.0,0.00010372938
0.0,0.0042671217
0.0,0.009380015
0.0,0.0004850962
0.0,-0.004377751
0.0,-0.003326075
0.0,-0.000995049
0.0,-0.0010528428
0.0,-0.0013640147
0.0,0.009757136
0.0,0.0145963235
0.0,-0.0033296433
0.0,-0.015169649
0.0,0.0011902893
0.0,0.015448683
0.0,-0.007555571
0.0,0.0020768112
0.0,-0.001629306
0.0,0.006820333
0.0,0.001076019
0.0,0.0045669284
0.0,-0.0029547827
0.0,0.0019421964
0.0,-1.1531988e-05
0.0,0.0020815914
0.0,0.0032887564
0.0,0.0026819564
0.0,-0.0007190926
0.0,0.00030445654
0.0,0.001819268
0.0,0.012108864
0.0,0.008210084
0.0,-0.0019060358
0.0,0.0035965214
0.0,0.0032358717
0.0,-0.0010141974
0.0,0.004256367
0.0,0.0055051283
0.0,-0.00044348225
0.0,0.0065017715
0.0,-0.0012264162
0.0,-0.0051094876
0.0,0.006549315
0.0,-0.01244853
0.0,-0.0011457447
0.0,0.0048011187
0.0,-0.006611565
0.0,-0.0069980454
0.0,-0.008210011
0.0,0.0025168948
0.0,0.005749569
0.0,0.0033619835
0.0,0.006088312
0.0,0.008398099
0.0,-0.0031556003
0.0,-0.009725143
0.0,0.003115817
0.0,-0.0034119475
0.0,0.009048932
0.0,0.003307774
0.0,0.0022134734
0.0,-0.018246502
0.0,-0.0006170599
0.0,-0.0027080607
0.0,0.0041052536
0.0,-0.0015317142
0.0,0.003160018
0.0,3.2523064e-06
0.0,0.00024928577
0.0,-0.0064213076
0.0,-0.008580464
0.0,0.0033779275
0.0,0.0069771046
0.0,-0.005138227
0.0,-0.011387577
0.0,-0.0037645884
0.0,0.0018643626
0.0,-2.2017257e-05
0.0,0.0024451911
0.0,-0.0035401394
0.0,-0.0008862649
0.0,0.0026101544
0.0,0.0008609359
0.0,-0.007316908
0.0,-0.009534859
0.0,-0.005003248
0.0,0.006402625
0.0,0.003112328
0.0,0.00082163245
0.0,-0.0076214457
0.0,0.010762219
0.0,-0.0006469407
0.0,0.0040557072
0.0,-0.0053063333
0.0,-0.0076880553
0.0,-0.005606631
0.0,-0.0016303064
0.0,0.0081184665
0.0,0.01920399
0.0,-0.003763073
0.0,-0.003231276
0.0,0.005601113
0.0,0.0021308719
0.0,0.0019141473
0.0,-0.006278039
0.0,-0.0030415438
0.0,0.0028981566
0.0,-0.00044867132
0.0,-0.0021152564
0.0,0.0020057443
0.0,-0.00245612
0.0,-0.005365789
0.0,0.003568317
0.0,-0.0015325532
0.0,0.0048647556
0.0,-0.0065071154
0.0,0.008114059
0.0,0.0042251837
0.0,0.002620965
0.0,-0.013382029
0.0,-0.0024655797
0.0,0.006107446
0.0,-0.0022603294
0.0,-0.0076248934
0.0,0.00488009
0.0,-0.0029829931
0.0,0.0021657767
0.0,0.004787719
0.0,0.0014330606
0.0,0.010392782
0.0,0.00047895985
0.0,0.003074029
0.0,-0.006264072
0.0,0.0049918867
0.0,0.0014661124
0.0,0.0006563366
0.0,0.0022149368
0.0,0.0037854232
0.0,0.0025380105
0.0,0.0007277363
0.0,-0.001521448
0.0,-9.916363e-05
0.0,0.0053514196
0.0,0.00062712526
0.0,-0.0027432002
0.0,-0.0030819676
0.0,-0.0027816293
0.0,-0.00068401895
0.0,0.0028786433
0.0,0.011026555
0.0,0.002088772
0.0,-0.0028573885
0.0,-0.0017898477
0.0,0.00465397
0.0,0.0025990652
0.0,0.0004091644
0.0,-0.0012562617
0.0,-0.0021465465
0.0,-0.0031283644
0.0,-0.00658226
0.0,0.016799118
0.0,-0.0037910626
0.0,0.004191715
0.0,0.006108504
0.0,0.000629978
0.0,-0.0013773572
0.0,-0.0033173703
0.0,-0.0045537585
0.0,-0.0062109553
0.0,0.013574101
0.0,-0.002521431
0.0,-0.0041572303
0.0,-0.001389276
0.0,0.0051461062
0.0,-0.00019023445
0.0,0.004537193
0.0,-0.0019494918
0.0,0.0031120316
0.0,0.00034654635
0.0,-0.0014314107
0.0,0.0036254493
0.0,-0.009379864
0.0,-0.0049297865
0.0,-0.0058239163
0.0,-0.0015328376
0.0,-0.0069819223
0.0,0.0027152202
0.0,0.0049410895
0.0,-0.0028402922
0.0,0.0026111966
0.0,-0.0076716403
0.0,-0.011791284
0.0,0.0053732847
0.0,0.0051330966
0.0,-0.008126425
0.0,-0.004445408
0.0,0.00019145131
0.0,-0.0012125217
0.0,0.0017364187
0.0,-0.0055512125
0.0,-0.00630059
0.0,0.011468074
0.0,0.0004098164
0.0,0.005885842
0.0,-0.005639368
0.0,-0.0020060902
0.0,0.0009970431
0.0,-0.00015339906
0.0,0.0021648488
0.0,0.0021498064
0.0,0.0024138242
0.0,0.00908264
0.0,-0.01386536
0.0,-0.0013227215
0.0,0.009739612
0.0,-0.0046596616
0.0,0.0043139732
0.0,0.0035605966
0.0,0.005937826
0.0,0.0020528962
0.0,2.968297e-06
0.0,-0.0046335654
0.0,0.004248346
0.0,-0.0047429544
0.0,-0.0066421106
0.0,0.008555186
0.0,0.001611369
0.0,-0.0048408736
0.0,-0.0022191263
0.0,0.0022284687
0.0,-0.0051232087
0.0,0.0008259087
0.0,0.0021748357
0.0,0.0042794426
0.0,-0.011988285
0.0,-0.0020092123
0.0,-0.0021758012
0.0,0.010011905
0.0,-0.0017300956
0.0,0.002666905
0.0,-0.00207385
0.0,-0.00046059076
0.0,-0.005264552
0.0,0.0026811718
0.0,0.002291222
0.0,-0.0027577276
0.0,-0.0009259611
0.0,0.012735445
0.0,0.008320181
0.0,-0.007989235
0.0,0.0026791773
0.0,-0.0026419812
0.0,-0.0021391888
0.0,0.0044541596
0.0,-0.003845439
0.0,-0.0015648782
0.0,-0.0012407318
0.0,-0.002607141
0.0,0.0013441805
0.0,0.010916248
0.0,-0.0058518266
0.0,0.015118526
0.0,0.017474378
0.0,-0.001983459
0.0,-0.0047546523
0.0,-0.012821627
0.0,-0.0044877734
0.0,-0.0016320678
0.0,0.0037746402
0.0,-0.0024990984
0.0,0.00392792
0.0,0.0013919713
0.0,0.0032033753
0.0,0.011437486
0.0,-0.0051370966
0.0,0.0031542315
0.0,0.009590476
0.0,0.0018627399
0.0,-0.0012959206
0.0,0.0043125018
0.0,-0.002572274
0.0,-0.0019057514
0.0,-0.0032792748
0.0,0.005618019
0.0,-0.007803132
0.0,-0.0013791145
0.0,0.0053616953
0.0,0.006800342
0.0,0.0022350515
0.0,0.008587931
0.0,0.0012614215
0.0,0.0022041164
0.0,-0.00032806426
0.0,-0.0069264458
0.0,0.0010635138
0.0,-0.010058976
0.0,0.0005845686
0.0,0.0012907574
0.0,0.0011458903
0.0,-8.896941e-05
0.0,0.0054104
0.0,-0.0055487985
0.0,-0.0038596052
0.0,0.005367206
0.0,0.0040576835
0.0,-0.0071820943
0.0,0.00042518746
0.0,-0.000670965
0.0,-0.003126434
0.0,0.004892115
0.0,0.0015664181
0.0,0.005038074
0.0,0.0056604445
