x,y,type,radius,time
30.115062849404488,50.4116953591777,SHELLING,61.84121358128104,2022-05-01T19:31:48.687Z
30.219338944125155,50.60465754832091,SHELLING,52.877983262929284,2022-05-01T05:31:48.687Z
30.726383662427363,50.42850947077718,SHELLING,1011.2540955284129,2022-05-01T15:31:48.687Z
30.17566063159685,50.4762618368831,SHELLING,71.75509880098014,2022-05-02T01:31:48.687Z
30.75228086858599,50.55015283918233,SHELLING,398.203856111398,2022-05-02T11:31:48.687Z
30.58682231375248,50.55720992518294,SHELLING,1367.3473514380823,2022-05-03T21:31:48.687Z
30.595980369586407,50.60217771039468,SHELLING,1363.5027192992143,2022-05-05T05:31:48.687Z
30.75090497706185,50.463427117524674,SHELLING,487.50052627617714,2022-05-05T05:31:48.687Z
30.205179390921263,50.41282173964648,SHELLING,874.588643414017,2022-05-05T15:31:48.687Z
30.619047061997193,50.46192970005432,SHELLING,266.97186147506955,2022-05-06T01:31:48.687Z
30.41001283542658,50.35300343279967,SHELLING,1317.0411086652703,2022-05-06T11:31:48.687Z
30.73996563736177,50.39835805398263,SHELLING,607.7968626649696,2022-05-07T21:31:48.687Z
30.244571513082526,50.430809843302626,SHELLING,607.4166898231017,2022-05-08T05:31:48.687Z
30.13844197535515,50.486142220382746,SHELLING,1409.4003122233646,2022-05-08T05:31:48.687Z
30.97160616160766,50.41206850327467,SHELLING,708.3397188310755,2022-05-08T15:31:48.687Z
30.137588148300498,50.406542387256955,SHELLING,157.16004370361628,2022-05-09T01:31:48.687Z
30.095590765820216,50.5880391666179,SHELLING,676.5310015230223,2022-05-09T11:31:48.687Z
30.203236551899646,50.33008671323269,SHELLING,1091.4607550768524,2022-05-10T21:31:48.687Z
30.710149085880204,50.591290147335535,SHELLING,1324.8966119920067,2022-05-10T05:31:48.687Z
30.59737076778445,50.40121865615394,SHELLING,954.6684506134471,2022-05-10T05:31:48.687Z
30.419014402441224,50.50378255842483,SHELLING,452.26312877669034,2022-05-10T15:31:48.687Z
30.913086404828636,50.49360363158619,SHELLING,966.8115445633623,2022-05-11T01:31:48.687Z
30.722881272985816,50.56121040667312,SHELLING,995.5858938160029,2022-05-11T11:31:48.687Z
30.39174077264215,50.36732772685896,SHELLING,1345.5180224452286,2022-05-12T21:31:48.687Z
30.32317214220144,50.60289790962056,SHELLING,224.8472823817179,2022-05-11T05:31:48.687Z
30.593791532165238,50.389567557486984,SHELLING,511.4636038792015,2022-05-11T05:31:48.687Z
30.98606947605481,50.57355479498325,SHELLING,623.3366880974758,2022-05-11T15:31:48.687Z
30.77428000054517,50.46275989436177,SHELLING,378.02541055633037,2022-05-12T01:31:48.687Z
30.774442301004882,50.53664013188292,SHELLING,1057.0739967921497,2022-05-12T11:31:48.687Z
30.133533107427922,50.31679660520146,SHELLING,679.40812225042,2022-05-13T21:31:48.687Z
30.35749271900199,50.511101874757976,SHELLING,732.4236990366198,2022-05-11T05:31:48.687Z
30.10283956459121,50.56197088626337,SHELLING,1289.0928500832713,2022-05-11T05:31:48.687Z
30.756412974130395,50.41842939578265,SHELLING,390.8670107485468,2022-05-11T15:31:48.687Z
30.087099450819583,50.33081674065816,SHELLING,854.8118923258063,2022-05-12T01:31:48.687Z
30.685564371860718,50.57844292259649,SHELLING,114.92609079387046,2022-05-12T11:31:48.687Z
30.97747702645395,50.432589230466654,SHELLING,274.96130621953046,2022-05-13T21:31:48.687Z
30.354991077274644,50.50273540937833,SHELLING,846.2113705659888,2022-05-10T05:31:48.687Z
30.22582187572502,50.49947726704779,SHELLING,640.26985500388,2022-05-10T05:31:48.687Z
30.24429241018136,50.40646204905564,SHELLING,804.9153878511936,2022-05-10T15:31:48.687Z
30.10316495306408,50.48481895953172,SHELLING,699.5938787121568,2022-05-11T01:31:48.687Z
30.089646677513354,50.35982231176637,SHELLING,468.7016526491143,2022-05-11T11:31:48.687Z
30.53832465981449,50.45069388902503,SHELLING,562.6217404721561,2022-05-12T21:31:48.687Z
